"TagCode"	"TagRateType"	"TR"
"0201020801"	"NonMS"	0.961551292743953
"0201020801"	"MS"	0.961551292743953
"0201020802"	"NonMS"	0.961551292743953
"0201020802"	"MS"	0.961551292743953
"0201020804"	"NonMS"	0.979470040582478
"0201020804"	"MS"	0.979470040582478
"0201020805"	"NonMS"	0.979470040582478
"0201020805"	"MS"	0.979470040582478
"0201020806"	"NonMS"	0.985751411416794
"0201020806"	"MS"	0.985751411416794
"0201020807"	"NonMS"	0.985751411416794
"0201020807"	"MS"	0.985751411416794
"0201020807*1"	"NonMS"	1
"0201020807*1"	"MS"	1
"0201020808"	"NonMS"	0.985751411416794
"0201020808"	"MS"	0.985751411416794
"0201020809"	"NonMS"	0.987203275961354
"0201020809"	"MS"	1
"0201020900"	"NonMS"	0.987203275961354
"0201020900"	"MS"	1
"0201020901"	"NonMS"	0.987203275961354
"0201020901"	"MS"	1
"0201020902"	"NonMS"	0.987203275961354
"0201020902"	"MS"	1
"0201020904"	"NonMS"	0.973091826065564
"0201020904"	"MS"	0.973091826065564
"0201020905"	"NonMS"	0.973091826065564
"0201020905"	"MS"	0.973091826065564
"0201020906"	"NonMS"	0.973091826065564
"0201020906"	"MS"	0.973091826065564
"030164"	"NonMS"	0.989487616592519
"030164"	"MS"	0.989487616592519
"030165"	"NonMS"	0.989487616592519
"030165"	"MS"	0.989487616592519
"030166"	"NonMS"	0.898642917726887
"030166"	"MS"	0.898642917726887
"030167"	"NonMS"	0.989487616592519
"030167"	"MS"	0.989487616592519
"030168"	"NonMS"	0.330210470702429
"030168"	"MS"	0.493060587992478
"030169"	"NonMS"	0.330210470702429
"030169"	"MS"	0.493060587992478
"030170"	"NonMS"	0.330210470702429
"030170"	"MS"	0.493060587992478
"030171"	"NonMS"	0.330210470702429
"030171"	"MS"	0.493060587992478
"030172"	"NonMS"	0.330210470702429
"030172"	"MS"	0.493060587992478
"030173"	"NonMS"	0.330210470702429
"030173"	"MS"	0.493060587992478
"030174"	"NonMS"	0.330210470702429
"030174"	"MS"	0.493060587992478
"030175"	"NonMS"	0.330210470702429
"030175"	"MS"	0.493060587992478
"030176"	"NonMS"	0.987962252826036
"030176"	"MS"	0.987962252826036
"030177"	"NonMS"	0.987962252826036
"030177"	"MS"	0.987962252826036
"030178"	"NonMS"	0.722372842394207
"030178"	"MS"	0.969537481511057
"030179"	"NonMS"	0.722372842394207
"030179"	"MS"	0.969537481511057
"030180"	"NonMS"	0.979728979229146
"030180"	"MS"	0.979728979229146
"030181"	"NonMS"	0.722372842394207
"030181"	"MS"	0.969537481511057
"030182"	"NonMS"	0.722372842394207
"030182"	"MS"	0.969537481511057
"030183"	"NonMS"	0.722372842394207
"030183"	"MS"	0.969537481511057
"030184"	"NonMS"	0.722372842394207
"030184"	"MS"	0.969537481511057
"030185"	"NonMS"	0.979728979229146
"030185"	"MS"	0.979728979229146
"030186"	"NonMS"	0.979728979229146
"030186"	"MS"	0.979728979229146
"030187"	"NonMS"	0.979728979229146
"030187"	"MS"	0.979728979229146
"030188"	"NonMS"	0.722372842394207
"030188"	"MS"	0.969537481511057
"030286"	"NonMS"	0.986000367069764
"030286"	"MS"	0.986000367069764
"030287"	"NonMS"	0.986000367069764
"030287"	"MS"	0.986000367069764
"030288"	"NonMS"	0.986000367069764
"030288"	"MS"	0.986000367069764
"030289"	"NonMS"	0.968002177732683
"030289"	"MS"	0.968002177732683
"030290"	"NonMS"	0.968002177732683
"030290"	"MS"	0.968002177732683
"030291"	"NonMS"	0.989487616592519
"030291"	"MS"	0.989487616592519
"030292"	"NonMS"	0.994018919743668
"030292"	"MS"	0.994018919743668
"030293"	"NonMS"	0.989487616592519
"030293"	"MS"	0.989487616592519
"030718"	"NonMS"	0.986000367069764
"030718"	"MS"	0.986000367069764
"030719"	"NonMS"	1
"030719"	"MS"	1
"030722"	"NonMS"	0.986000367069764
"030722"	"MS"	0.986000367069764
"030723"	"NonMS"	0.986000367069764
"030723"	"MS"	0.986000367069764
"030724"	"NonMS"	0.986000367069764
"030724"	"MS"	0.986000367069764
"030725"	"NonMS"	0.986000367069764
"030725"	"MS"	0.986000367069764
"030726"	"NonMS"	0.926644625615208
"030726"	"MS"	0.926644625615208
"030727"	"NonMS"	0.926644625615208
"030727"	"MS"	0.926644625615208
"030728"	"NonMS"	0.989487616592519
"030728"	"MS"	0.989487616592519
"030729"	"NonMS"	0.941016488186299
"030729"	"MS"	0.941016488186299
"030730"	"NonMS"	0.920414847161572
"030730"	"MS"	0.920414847161572
"031672"	"NonMS"	0.986000367069764
"031672"	"MS"	0.986000367069764
"031673"	"NonMS"	0.986000367069764
"031673"	"MS"	0.986000367069764
"031674"	"NonMS"	0.986000367069764
"031674"	"MS"	0.986000367069764
"031675"	"NonMS"	0.986000367069764
"031675"	"MS"	0.986000367069764
"031676"	"NonMS"	0.986000367069764
